data type,feature vector,target,d success,o success,d weights,o weights,d ratios,o ratios,d score,o score,d time,o time
f sized_list,nil,"0.100",False,True,"(10, 90)","(96, 786)","(0.1)","(0.1)",0.006,0.000,0.003,5.228
f sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",False,False,"(25, 75)","(109, 563)","(0.25)","(0.25)",622.814,151.705,0.001,7.813
f sized_list,len,"5.000",False,False,"(10, 90)","(91, 608)","(0.1)","(0.1)",0.925,0.005,0.003,7.510
f depth_bst,h_bal,"0.300",False,True,"(70, 30)","(13, 1379)","(0.7)","(0.7)",0.022,0.000,0.008,17.805
f depth_bst,stick,"0.500",False,False,"(50, 50)","(617, 645)","(0.5)","(0.5)",0.164,0.109,0.007,19.966
f depth_bst,stick,"0.800",False,False,"(40, 60)","(907, 994)","(0.4)","(0.4)",0.477,0.412,0.007,14.763
f depth_bst,h_bal,"2.000",False,False,"(20, 80)","(398, 1067)","(0.2)","(0.2)",0.704,0.494,0.008,22.693
f depth_bst,stick,"0.100",False,True,"(90, 9)","(1051, 126)","(0.909)","(0.909)",0.003,0.000,0.007,25.682
f depth_bst,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(40, 60)","(345, 449)","(0.4)","(0.4)",772.001,458.165,0.008,17.684
f depth_tree,h_bal,"1.500",False,False,"(40, 60)","(171, 394)","(0.4)","(0.4)",0.328,0.037,0.010,23.367
f depth_tree,h_bal,"0.300",False,True,"(70, 30)","(859, 382)","(0.7)","(0.7)",0.031,0.000,0.010,23.107
f depth_tree,height,"3.000",False,True,"(40, 60)","(437, 988)","(0.4)","(0.4)",0.625,0.000,0.010,14.803
f depth_tree,stick,"0.500",False,False,"(50, 50)","(864, 797)","(0.5)","(0.5)",0.161,0.122,0.009,23.792
f depth_tree,stick,"0.800",False,False,"(50, 50)","(864, 797)","(0.5)","(0.5)",0.469,0.122,0.008,23.792
f depth_tree,h_bal,"2.000",False,False,"(20, 80)","(208, 500)","(0.2)","(0.2)",0.851,0.518,0.009,20.325
f depth_tree,stick,"0.100",False,True,"(10, 90)","(860, 95)","(0.1)","(0.1)",0.004,0.000,0.008,15.190
f depth_tree,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(50, 50)","(271, 322)","(0.5)","(0.5)",866.093,709.085,0.009,16.133
f even_list,nil,"0.100",False,False,"(0, 100)","(640, 619)","(0.0)","(0.0)",0.100,0.100,0.004,5.711
f even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",False,False,"(20, 80)","(63, 323)","(0.2)","(0.2)",324.406,161.496,0.004,8.439
f even_list,len,"5.000",False,False,"(20, 80)","(166, 782)","(0.2)","(0.2)",0.180,0.004,0.004,6.410
f rb_tree,black,"0.200",False,False,"(0, 100, 100, 0)","(11, 705, 937, 4)","(0.0, 1.0)","(0.0, 1.0)",0.133,0.136,0.088,28.686
f rb_tree,min_black,"0.200",False,False,"(0, 100, 100, 0)","(5, 649, 824, 23)","(0.0, 1.0)","(0.0, 1.0)",0.133,0.136,0.086,31.310
